Tag,Size
Biology,39
Course Development,26
CTLT,6
Curriculum Review,26
"Earth, Ocean and Atmospheric Sciences",74
Engagement,26
First Year,56
Introductory Courses,57
Learning Environment,19
Michael Smith Laboratories,11
Microbiology and Immunology,8
Research Experience,15
Science Centre for Learning and Teaching Skylight,81
Student Satisfaction,65
Technical Writing,2
Undergraduate Students,54
Computer Science,139
Teaching Resources Video,16
Personalized Learning,9
Pre-UBC Tenure,41
MOOCs,8
Student Modeling,11
Online Learning,16
Teaching Resources Digital Other,50
Student Attitudes,25
Analytics,15
Teaching Resources Non-Digital,5
Large Class,5
Chemistry,22
Lab Instruction,5
Lab Course,22
Learning Goals,7
Exams,31
Scholarship of Teaching and Learning,10
Assessment,34
Student Performance,55
Learning Outcomes,2
Problem Solving,15
Physics and Astronomy,66
Mathematics,31
Professional Development,41
Graduate Students,6
Skill Development,3
Flipped Classroom,5
Lab Design,12
Statistics,7
Upper Year,18
Course Implementation,11
Peer Assessment,11
Group Work,10
Survey,8
Active Learning,35
Instructor Feedback,9
Distance Education,6
Sustainability,3
Annotation and Highlighting,5
Computer-Assisted Instruction,2
Peer Teaching,4
Team Teaching,6
Learning Technology,30
Pre-Reading,2
Small Class,3
Research Strategies,5
Clickers,5
Multimedia-Based Learning,5
Lecture Recording,3
Formative Assessment,4
Data Visualization,3
Workshops,6
Inquiry-Based Instruction,7
Textbooks,6
Hybrid Learning,4
COVID-19,10
Teaching Assistants,13
"Institute for Resources, Environment and Sustainability",9
Diversity,12
Alternative Assessment,9
Grading,7
Face-To-Face,8
Mentorship,5
Critical Thinking,4
Undergraduate Research,8
Case Study,24
Hands-On Experiments,2
Interdisciplinary,10
Inclusion,22
Gender Diversity,11
International Students,5
Wellbeing,9
Group Exams,7
Comparative Judgement,2
Accessibility,2
Computational Thinking,6
Data Science,3
Online Teaching,8
Concept Inventory,12
Assessment Tools,12
Misconceptions,8
Degree Planning,1
Automated Assessment,6
Learning Strategies,19
Peer Learning,3
Indigenous Ways of Knowing,5
Academic Development,3
Biotechnology,1
Problem-Based Learning,4
English Language Learners ELL,2
Testing,2
Teaching Practices,47
Two-Stage Exams,8
Student Feedback,2
Paired Teaching,2
Geoscience,1
Discipline Based Education Research DBER,3
Discipline Based,1
Office Hours,1
In-Class Activities,3
Group Learning,5
Framework,13
Open Source Textbooks,2
Invention Activities,2
Experiential Learning,6
Software Learning,3
Web-Based Learning,2
Focus Groups,4
Disabilities,1
Belonging,4
Cognitive Load,4
Note-Taking,1
Institute for Oceans and Fisheries,1
Academic Misconduct,1
